Date,Country/Region,Lat,Long,no.Passenger
1/30/2020,Malaysia,4.21,101.97,24
1/30/2020,"Korea, South",36,128,23
1/30/2020,France,46.22,2.21,56
1/30/2020,Singapore,1.2833,103.8333,75
1/30/2020,Brazil,-14.235,-51.9253,45
1/30/2020,United Kingdom,55.37,3.43,35
1/31/2020,Afghanistan,33,65,24
1/31/2020,Australia,-35.4735,149.0124,54
1/31/2020,Japan,36,138,26
1/31/2020,Malaysia,4.21,101.97,12
1/31/2020,"Korea, South",36,128,13
1/31/2020,France,46.22,2.21,25
1/31/2020,Singapore,1.2833,103.8333,54
1/31/2020,Brazil,-14.235,-51.9253,26
1/31/2020,United Kingdom,55.37,3.43,15
2/1/2020,Afghanistan,33,65,12
2/1/2020,Australia,-35.4735,149.0124,26
2/1/2020,Japan,36,138,10
2/1/2020,Malaysia,4.21,101.97,10
2/1/2020,"Korea, South",36,128,13
2/1/2020,France,46.22,2.21,25
2/1/2020,Singapore,1.2833,103.8333,13
2/1/2020,Brazil,-14.235,-51.9253,12
2/1/2020,United Kingdom,55.37,3.43,15
2/2/2020,Afghanistan,33,65,15
2/2/2020,Australia,-35.4735,149.0124,16
2/2/2020,Japan,36,138,15
2/2/2020,Malaysia,4.21,101.97,15
2/2/2020,"Korea, South",36,128,16
2/2/2020,France,46.22,2.21,18
2/2/2020,Singapore,1.2833,103.8333,15
2/2/2020,Brazil,-14.235,-51.9253,15
2/2/2020,United Kingdom,55.37,3.43,14
2/3/2020,Afghanistan,33,65,16
2/3/2020,Australia,-35.4735,149.0124,17
2/3/2020,Japan,36,138,18
2/3/2020,Malaysia,4.21,101.97,9
2/3/2020,"Korea, South",36,128,8
2/3/2020,France,46.22,2.21,15
2/3/2020,Singapore,1.2833,103.8333,12
2/3/2020,Brazil,-14.235,-51.9253,15
2/3/2020,United Kingdom,55.37,3.43,12
2/4/2020,Afghanistan,33,65,17
2/4/2020,Australia,-35.4735,149.0124,15
2/4/2020,Japan,36,138,14
2/4/2020,Malaysia,4.21,101.97,15
2/4/2020,"Korea, South",36,128,17
2/4/2020,France,46.22,2.21,12
2/4/2020,Singapore,1.2833,103.8333,16
2/4/2020,Brazil,-14.235,-51.9253,14
2/4/2020,United Kingdom,55.37,3.43,18
2/5/2020,Afghanistan,33,65,17
2/5/2020,Australia,-35.4735,149.0124,15
2/5/2020,Japan,36,138,14
2/5/2020,Malaysia,4.21,101.97,16
2/5/2020,"Korea, South",36,128,16
2/5/2020,France,46.22,2.21,8
2/5/2020,Singapore,1.2833,103.8333,15
2/5/2020,Brazil,-14.235,-51.9253,15
2/5/2020,United Kingdom,55.37,3.43,14
2/6/2020,Afghanistan,33,65,11
2/6/2020,Australia,-35.4735,149.0124,16
2/6/2020,Japan,36,138,17
2/6/2020,Malaysia,4.21,101.97,15
2/6/2020,"Korea, South",36,128,12
2/6/2020,France,46.22,2.21,11
2/6/2020,Singapore,1.2833,103.8333,17
2/6/2020,Brazil,-14.235,-51.9253,13
2/6/2020,United Kingdom,55.37,3.43,14
2/7/2020,Afghanistan,33,65,18
2/7/2020,Australia,-35.4735,149.0124,19
2/7/2020,Japan,36,138,14
2/7/2020,Malaysia,4.21,101.97,16
2/7/2020,"Korea, South",36,128,15
2/7/2020,France,46.22,2.21,17
2/7/2020,Singapore,1.2833,103.8333,12
2/7/2020,Brazil,-14.235,-51.9253,14
2/7/2020,United Kingdom,55.37,3.43,15
2/8/2020,Afghanistan,33,65,12
2/8/2020,Australia,-35.4735,149.0124,14
2/8/2020,Japan,36,138,13
2/8/2020,Malaysia,4.21,101.97,17
2/8/2020,"Korea, South",36,128,18
2/8/2020,France,46.22,2.21,15
2/8/2020,Singapore,1.2833,103.8333,14
2/8/2020,Brazil,-14.235,-51.9253,15
2/8/2020,United Kingdom,55.37,3.43,12
2/9/2020,Afghanistan,33,65,17
2/9/2020,Australia,-35.4735,149.0124,15
2/9/2020,Japan,36,138,14
2/9/2020,Malaysia,4.21,101.97,12
2/9/2020,"Korea, South",36,128,14
2/9/2020,France,46.22,2.21,21
2/9/2020,Singapore,1.2833,103.8333,15
2/9/2020,Brazil,-14.235,-51.9253,15
2/9/2020,United Kingdom,55.37,3.43,14
2/10/2020,Afghanistan,33,65,15
2/10/2020,Australia,-35.4735,149.0124,14
2/10/2020,Japan,36,138,19
2/10/2020,Malaysia,4.21,101.97,13
2/10/2020,"Korea, South",36,128,12
2/10/2020,France,46.22,2.21,14
2/10/2020,Singapore,1.2833,103.8333,12
2/10/2020,Brazil,-14.235,-51.9253,14
2/10/2020,United Kingdom,55.37,3.43,15
2/11/2020,Afghanistan,33,65,12
2/11/2020,Australia,-35.4735,149.0124,26
2/11/2020,Japan,36,138,10
2/11/2020,Malaysia,4.21,101.97,10
2/11/2020,"Korea, South",36,128,13
2/11/2020,France,46.22,2.21,25
2/11/2020,Singapore,1.2833,103.8333,13
2/11/2020,Brazil,-14.235,-51.9253,12
2/11/2020,United Kingdom,55.37,3.43,15
2/12/2020,Afghanistan,33,65,15
2/12/2020,Australia,-35.4735,149.0124,16
2/12/2020,Japan,36,138,15
2/12/2020,Malaysia,4.21,101.97,15
2/12/2020,"Korea, South",36,128,16
2/12/2020,France,46.22,2.21,18
2/12/2020,Singapore,1.2833,103.8333,15
2/12/2020,Brazil,-14.235,-51.9253,15
2/12/2020,United Kingdom,55.37,3.43,14
2/13/2020,Afghanistan,33,65,16
2/13/2020,Australia,-35.4735,149.0124,17
2/13/2020,Japan,36,138,18
2/13/2020,Malaysia,4.21,101.97,9
2/13/2020,"Korea, South",36,128,8
2/13/2020,France,46.22,2.21,15
2/13/2020,Singapore,1.2833,103.8333,12
2/13/2020,Brazil,-14.235,-51.9253,15
2/13/2020,United Kingdom,55.37,3.43,12
2/14/2020,Afghanistan,33,65,17
2/14/2020,Australia,-35.4735,149.0124,15
2/14/2020,Japan,36,138,14
2/14/2020,Malaysia,4.21,101.97,15
2/14/2020,"Korea, South",36,128,17
2/14/2020,France,46.22,2.21,12
2/14/2020,Singapore,1.2833,103.8333,16
2/14/2020,Brazil,-14.235,-51.9253,14
2/14/2020,United Kingdom,55.37,3.43,18
2/15/2020,Afghanistan,33,65,17
2/15/2020,Australia,-35.4735,149.0124,15
2/15/2020,Japan,36,138,14
2/15/2020,Malaysia,4.21,101.97,16
2/15/2020,"Korea, South",36,128,16
2/15/2020,France,46.22,2.21,8
2/15/2020,Singapore,1.2833,103.8333,15
2/15/2020,Brazil,-14.235,-51.9253,15
2/15/2020,United Kingdom,55.37,3.43,14
2/16/2020,Afghanistan,33,65,11
2/16/2020,Australia,-35.4735,149.0124,16
2/16/2020,Japan,36,138,17
2/16/2020,Malaysia,4.21,101.97,15
2/16/2020,"Korea, South",36,128,12
2/16/2020,France,46.22,2.21,11
2/16/2020,Singapore,1.2833,103.8333,17
2/16/2020,Brazil,-14.235,-51.9253,13
2/16/2020,United Kingdom,55.37,3.43,14
2/17/2020,Afghanistan,33,65,18
2/17/2020,Australia,-35.4735,149.0124,19
2/17/2020,Japan,36,138,14
2/17/2020,Malaysia,4.21,101.97,16
2/17/2020,"Korea, South",36,128,15
2/17/2020,France,46.22,2.21,17
2/17/2020,Singapore,1.2833,103.8333,12
2/17/2020,Brazil,-14.235,-51.9253,14
2/17/2020,United Kingdom,55.37,3.43,15
2/18/2020,Afghanistan,33,65,12
2/18/2020,Australia,-35.4735,149.0124,14
2/18/2020,Japan,36,138,13
2/18/2020,Malaysia,4.21,101.97,17
2/18/2020,"Korea, South",36,128,18
2/18/2020,France,46.22,2.21,15
2/18/2020,Singapore,1.2833,103.8333,14
2/18/2020,Brazil,-14.235,-51.9253,15
2/18/2020,United Kingdom,55.37,3.43,12
2/19/2020,Afghanistan,33,65,17
2/19/2020,Australia,-35.4735,149.0124,15
2/19/2020,Japan,36,138,14
2/19/2020,Malaysia,4.21,101.97,12
2/19/2020,"Korea, South",36,128,14
2/19/2020,France,46.22,2.21,21
2/19/2020,Singapore,1.2833,103.8333,15
2/19/2020,Brazil,-14.235,-51.9253,15
2/19/2020,United Kingdom,55.37,3.43,14
2/20/2020,Afghanistan,33,65,15
2/20/2020,Australia,-35.4735,149.0124,14
2/20/2020,Japan,36,138,19
2/20/2020,Malaysia,4.21,101.97,13
2/20/2020,"Korea, South",36,128,12
2/20/2020,France,46.22,2.21,14
2/20/2020,Singapore,1.2833,103.8333,12
2/20/2020,Brazil,-14.235,-51.9253,14
2/20/2020,United Kingdom,55.37,3.43,15
2/21/2020,Afghanistan,33,65,12
2/21/2020,Australia,-35.4735,149.0124,26
2/21/2020,Japan,36,138,10
2/21/2020,Malaysia,4.21,101.97,10
2/21/2020,"Korea, South",36,128,13
2/21/2020,France,46.22,2.21,25
2/21/2020,Singapore,1.2833,103.8333,13
2/21/2020,Brazil,-14.235,-51.9253,12
2/21/2020,United Kingdom,55.37,3.43,15
2/22/2020,Afghanistan,33,65,15
2/22/2020,Australia,-35.4735,149.0124,16
2/22/2020,Japan,36,138,15
2/22/2020,Malaysia,4.21,101.97,15
2/22/2020,"Korea, South",36,128,16
2/22/2020,France,46.22,2.21,18
2/22/2020,Singapore,1.2833,103.8333,15
2/22/2020,Brazil,-14.235,-51.9253,15
2/22/2020,United Kingdom,55.37,3.43,14
2/23/2020,Afghanistan,33,65,16
2/23/2020,Australia,-35.4735,149.0124,17
2/23/2020,Japan,36,138,18
2/23/2020,Malaysia,4.21,101.97,9
2/23/2020,"Korea, South",36,128,8
2/23/2020,France,46.22,2.21,15
2/23/2020,Singapore,1.2833,103.8333,12
2/23/2020,Brazil,-14.235,-51.9253,15
2/23/2020,United Kingdom,55.37,3.43,12
2/24/2020,Afghanistan,33,65,17
2/24/2020,Australia,-35.4735,149.0124,15
2/24/2020,Japan,36,138,14
2/24/2020,Malaysia,4.21,101.97,15
2/24/2020,"Korea, South",36,128,17
2/24/2020,France,46.22,2.21,12
2/24/2020,Singapore,1.2833,103.8333,16
2/24/2020,Brazil,-14.235,-51.9253,14
2/24/2020,United Kingdom,55.37,3.43,18
2/25/2020,Afghanistan,33,65,17
2/25/2020,Australia,-35.4735,149.0124,15
2/25/2020,Japan,36,138,14
2/25/2020,Malaysia,4.21,101.97,16
2/25/2020,"Korea, South",36,128,16
2/25/2020,France,46.22,2.21,8
2/25/2020,Singapore,1.2833,103.8333,15
2/25/2020,Brazil,-14.235,-51.9253,15
2/25/2020,United Kingdom,55.37,3.43,14
2/26/2020,Afghanistan,33,65,11
2/26/2020,Australia,-35.4735,149.0124,16
2/26/2020,Japan,36,138,17
2/26/2020,Malaysia,4.21,101.97,15
2/26/2020,"Korea, South",36,128,12
2/26/2020,France,46.22,2.21,11
2/26/2020,Singapore,1.2833,103.8333,17
2/26/2020,Brazil,-14.235,-51.9253,13
2/26/2020,United Kingdom,55.37,3.43,14
2/27/2020,Afghanistan,33,65,18
2/27/2020,Australia,-35.4735,149.0124,19
2/27/2020,Japan,36,138,14
2/27/2020,Malaysia,4.21,101.97,16
2/27/2020,"Korea, South",36,128,15
2/27/2020,France,46.22,2.21,17
2/27/2020,Singapore,1.2833,103.8333,12
2/27/2020,Brazil,-14.235,-51.9253,14
2/27/2020,United Kingdom,55.37,3.43,15
2/28/2020,Afghanistan,33,65,12
2/28/2020,Australia,-35.4735,149.0124,14
2/28/2020,Japan,36,138,13
2/28/2020,Malaysia,4.21,101.97,17
2/28/2020,"Korea, South",36,128,18
2/28/2020,France,46.22,2.21,15
2/28/2020,Singapore,1.2833,103.8333,14
2/28/2020,Brazil,-14.235,-51.9253,15
2/28/2020,United Kingdom,55.37,3.43,12
2/29/2020,Afghanistan,33,65,17
2/29/2020,Australia,-35.4735,149.0124,15
2/29/2020,Japan,36,138,14
2/29/2020,Malaysia,4.21,101.97,12
2/29/2020,"Korea, South",36,128,14
2/29/2020,France,46.22,2.21,21
2/29/2020,Singapore,1.2833,103.8333,15
2/29/2020,Brazil,-14.235,-51.9253,15
2/29/2020,United Kingdom,55.37,3.43,14
3/1/2020,Afghanistan,33,65,15
3/1/2020,Australia,-35.4735,149.0124,14
3/1/2020,Japan,36,138,19
3/1/2020,Malaysia,4.21,101.97,13
3/1/2020,"Korea, South",36,128,12
3/1/2020,France,46.22,2.21,14
3/1/2020,Singapore,1.2833,103.8333,12
3/1/2020,Brazil,-14.235,-51.9253,14
3/1/2020,United Kingdom,55.37,3.43,15
3/2/2020,Afghanistan,33,65,12
3/2/2020,Australia,-35.4735,149.0124,26
3/2/2020,Japan,36,138,10
3/2/2020,Malaysia,4.21,101.97,10
3/2/2020,"Korea, South",36,128,13
3/2/2020,France,46.22,2.21,25
3/2/2020,Singapore,1.2833,103.8333,13
3/2/2020,Brazil,-14.235,-51.9253,12
3/2/2020,United Kingdom,55.37,3.43,15
3/3/2020,Afghanistan,33,65,15
3/3/2020,Australia,-35.4735,149.0124,16
3/3/2020,Japan,36,138,15
3/3/2020,Malaysia,4.21,101.97,15
3/3/2020,"Korea, South",36,128,16
3/3/2020,France,46.22,2.21,18
3/3/2020,Singapore,1.2833,103.8333,15
3/3/2020,Brazil,-14.235,-51.9253,15
3/3/2020,United Kingdom,55.37,3.43,14
3/4/2020,Afghanistan,33,65,16
3/4/2020,Australia,-35.4735,149.0124,17
3/4/2020,Japan,36,138,18
3/4/2020,Malaysia,4.21,101.97,9
3/4/2020,"Korea, South",36,128,8
3/4/2020,France,46.22,2.21,15
3/4/2020,Singapore,1.2833,103.8333,12
3/4/2020,Brazil,-14.235,-51.9253,15
3/4/2020,United Kingdom,55.37,3.43,12
3/5/2020,Afghanistan,33,65,17
3/5/2020,Australia,-35.4735,149.0124,15
3/5/2020,Japan,36,138,14
3/5/2020,Malaysia,4.21,101.97,15
3/5/2020,"Korea, South",36,128,17
3/5/2020,France,46.22,2.21,12
3/5/2020,Singapore,1.2833,103.8333,16
3/5/2020,Brazil,-14.235,-51.9253,14
3/5/2020,United Kingdom,55.37,3.43,18
3/6/2020,Afghanistan,33,65,17
3/6/2020,Australia,-35.4735,149.0124,15
3/6/2020,Japan,36,138,14
3/6/2020,Malaysia,4.21,101.97,16
3/6/2020,"Korea, South",36,128,16
3/6/2020,France,46.22,2.21,8
3/6/2020,Singapore,1.2833,103.8333,15
3/6/2020,Brazil,-14.235,-51.9253,15
3/6/2020,United Kingdom,55.37,3.43,14
3/7/2020,Afghanistan,33,65,11
3/7/2020,Australia,-35.4735,149.0124,16
3/7/2020,Japan,36,138,17
3/7/2020,Malaysia,4.21,101.97,15
3/7/2020,"Korea, South",36,128,12
3/7/2020,France,46.22,2.21,11
3/7/2020,Singapore,1.2833,103.8333,17
3/7/2020,Brazil,-14.235,-51.9253,13
3/7/2020,United Kingdom,55.37,3.43,14
3/8/2020,Afghanistan,33,65,18
3/8/2020,Australia,-35.4735,149.0124,19
3/8/2020,Japan,36,138,14
3/8/2020,Malaysia,4.21,101.97,16
3/8/2020,"Korea, South",36,128,15
3/8/2020,France,46.22,2.21,17
3/8/2020,Singapore,1.2833,103.8333,12
3/8/2020,Brazil,-14.235,-51.9253,14
3/8/2020,United Kingdom,55.37,3.43,15
3/9/2020,Afghanistan,33,65,12
3/9/2020,Australia,-35.4735,149.0124,14
3/9/2020,Japan,36,138,13
3/9/2020,Malaysia,4.21,101.97,17
3/9/2020,"Korea, South",36,128,18
3/9/2020,France,46.22,2.21,15
3/9/2020,Singapore,1.2833,103.8333,14
3/9/2020,Brazil,-14.235,-51.9253,15
3/9/2020,United Kingdom,55.37,3.43,12
3/10/2020,Afghanistan,33,65,17
3/10/2020,Australia,-35.4735,149.0124,15
3/10/2020,Japan,36,138,14
3/10/2020,Malaysia,4.21,101.97,12
3/10/2020,"Korea, South",36,128,14
3/10/2020,France,46.22,2.21,21
3/10/2020,Singapore,1.2833,103.8333,15
3/10/2020,Brazil,-14.235,-51.9253,15
3/10/2020,United Kingdom,55.37,3.43,14
3/11/2020,Afghanistan,33,65,15
3/11/2020,Australia,-35.4735,149.0124,14
3/11/2020,Japan,36,138,19
3/11/2020,Malaysia,4.21,101.97,13
3/11/2020,"Korea, South",36,128,12
3/11/2020,France,46.22,2.21,14
3/11/2020,Singapore,1.2833,103.8333,12
3/11/2020,Brazil,-14.235,-51.9253,14
3/11/2020,United Kingdom,55.37,3.43,15
3/12/2020,Afghanistan,33,65,15
3/12/2020,Australia,-35.4735,149.0124,14
3/12/2020,Japan,36,138,19
3/12/2020,Malaysia,4.21,101.97,13
3/12/2020,"Korea, South",36,128,12
3/12/2020,France,46.22,2.21,14
3/12/2020,Singapore,1.2833,103.8333,12
3/12/2020,Brazil,-14.235,-51.9253,14
3/12/2020,United Kingdom,55.37,3.43,15
3/13/2020,Afghanistan,33,65,12
3/13/2020,Australia,-35.4735,149.0124,26
3/13/2020,Japan,36,138,10
3/13/2020,Malaysia,4.21,101.97,10
3/13/2020,"Korea, South",36,128,13
3/13/2020,France,46.22,2.21,25
3/13/2020,Singapore,1.2833,103.8333,13
3/13/2020,Brazil,-14.235,-51.9253,12
3/13/2020,United Kingdom,55.37,3.43,15
3/14/2020,Afghanistan,33,65,15
3/14/2020,Australia,-35.4735,149.0124,16
3/14/2020,Japan,36,138,15
3/14/2020,Malaysia,4.21,101.97,15
3/14/2020,"Korea, South",36,128,16
3/14/2020,France,46.22,2.21,18
3/14/2020,Singapore,1.2833,103.8333,15
3/14/2020,Brazil,-14.235,-51.9253,15
3/14/2020,United Kingdom,55.37,3.43,14
3/15/2020,Afghanistan,33,65,16
3/15/2020,Australia,-35.4735,149.0124,17
3/15/2020,Japan,36,138,18
3/15/2020,Malaysia,4.21,101.97,9
3/15/2020,"Korea, South",36,128,8
3/15/2020,France,46.22,2.21,15
3/15/2020,Singapore,1.2833,103.8333,12
3/15/2020,Brazil,-14.235,-51.9253,15
3/15/2020,United Kingdom,55.37,3.43,12
3/16/2020,Afghanistan,33,65,17
3/16/2020,Australia,-35.4735,149.0124,15
3/16/2020,Japan,36,138,14
3/16/2020,Malaysia,4.21,101.97,15
3/16/2020,"Korea, South",36,128,17
3/16/2020,France,46.22,2.21,12
3/16/2020,Singapore,1.2833,103.8333,16
3/16/2020,Brazil,-14.235,-51.9253,14
3/16/2020,United Kingdom,55.37,3.43,18
3/17/2020,Afghanistan,33,65,17
3/17/2020,Australia,-35.4735,149.0124,15
3/17/2020,Japan,36,138,14
3/17/2020,Malaysia,4.21,101.97,16
3/17/2020,"Korea, South",36,128,16
3/17/2020,France,46.22,2.21,8
3/17/2020,Singapore,1.2833,103.8333,15
3/17/2020,Brazil,-14.235,-51.9253,15
3/17/2020,United Kingdom,55.37,3.43,14
3/18/2020,Afghanistan,33,65,11
3/18/2020,Australia,-35.4735,149.0124,16
3/18/2020,Japan,36,138,17
3/18/2020,Malaysia,4.21,101.97,15
3/18/2020,"Korea, South",36,128,12
3/18/2020,France,46.22,2.21,11
3/18/2020,Singapore,1.2833,103.8333,17
3/18/2020,Brazil,-14.235,-51.9253,13
3/18/2020,United Kingdom,55.37,3.43,14
3/19/2020,Afghanistan,33,65,18
3/19/2020,Australia,-35.4735,149.0124,19
3/19/2020,Japan,36,138,14
3/19/2020,Malaysia,4.21,101.97,16
3/19/2020,"Korea, South",36,128,15
3/19/2020,France,46.22,2.21,17
3/19/2020,Singapore,1.2833,103.8333,12
3/19/2020,Brazil,-14.235,-51.9253,14
3/19/2020,United Kingdom,55.37,3.43,15
3/20/2020,Afghanistan,33,65,12
3/20/2020,Australia,-35.4735,149.0124,14
3/20/2020,Japan,36,138,13
3/20/2020,Malaysia,4.21,101.97,17
3/20/2020,"Korea, South",36,128,18
3/20/2020,France,46.22,2.21,15
3/20/2020,Singapore,1.2833,103.8333,14
3/20/2020,Brazil,-14.235,-51.9253,15
3/20/2020,United Kingdom,55.37,3.43,12
3/21/2020,Afghanistan,33,65,17
3/21/2020,Australia,-35.4735,149.0124,15
3/21/2020,Japan,36,138,14
3/21/2020,Malaysia,4.21,101.97,12
3/21/2020,"Korea, South",36,128,14
3/21/2020,France,46.22,2.21,21
3/21/2020,Singapore,1.2833,103.8333,15
3/21/2020,Brazil,-14.235,-51.9253,15
3/21/2020,United Kingdom,55.37,3.43,14
3/22/2020,Afghanistan,33,65,15
3/22/2020,Australia,-35.4735,149.0124,14
3/22/2020,Japan,36,138,19
3/22/2020,Malaysia,4.21,101.97,13
3/22/2020,"Korea, South",36,128,12
3/22/2020,France,46.22,2.21,14
3/22/2020,Singapore,1.2833,103.8333,12
3/22/2020,Brazil,-14.235,-51.9253,14
3/22/2020,United Kingdom,55.37,3.43,15
